CÓDIGO,NOME,IMAGEM,CNPJ,SETOR ECONÔMICO,SUBSETOR,SEGMENTO / ADM / PAÍS,TIPO,SEGMENTO
CSAN3,Cosan SA,https://bastter.com/mercado/images/acao/CSAN.gif,50.746.577/0001-15,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,NM
DMMO3,Dommo Energia SA,https://bastter.com/mercado/images/acao/DMMO.gif,08.926.302/0001-05,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,
DMMO11,Dommo Energia SA,https://bastter.com/mercado/images/acao/DMMO.gif,08.926.302/0001-05,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,
ENAT3,Enauta Participacoes SA,https://bastter.com/mercado/images/acao/ENAT.gif,11.669.021/0001-10,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,NM
RPMG3,Refinaria de Petroleos d Mng S em Rcp Jd,https://bastter.com/mercado/images/acao/RPMG.gif,33.412.081/0001-96,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,
PETR3,Petroleo Brasileiro SA Petrobras,https://bastter.com/mercado/images/acao/PETR.gif,33.000.167/0001-01,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,N2
PETR4,Petroleo Brasileiro SA Petrobras Preference Shares,https://bastter.com/mercado/images/acao/PETR.gif,33.000.167/0001-01,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,N2
BRDT3,VIBRA ENERGIA S.A.,https://bastter.com/mercado/images/acao/BRDT.gif,34.274.233/0001-02,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,NM
VBBR3,VIBRA ENERGIA S.A.,https://bastter.com/mercado/images/acao/BRDT.gif,34.274.233/0001-02,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,NM
PRIO3,Petro Rio SA,https://bastter.com/mercado/images/acao/PRIO.gif,10.629.105/0001-68,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,NM
UGPA3,Ultrapar Participacoes SA,https://bastter.com/mercado/images/acao/UGPA.gif,33.256.439/0001-39,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Ação,NM
LUPA3,Lupatech SA,https://bastter.com/mercado/images/acao/LUPA.gif,89.463.822/0001-12,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,Ação,NM
OSXB3,OSX BRASIL SA,https://bastter.com/mercado/images/acao/OSXB.gif,09.112.685/0001-32,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,Ação,NM
BRAP3,Bradespar SA,https://bastter.com/mercado/images/acao/BRAP.gif,03.847.461/0001-92,Materiais Básicos,Mineração,Minerais Metálicos,Ação,N1
BRAP4,Bradespar SA Preference Shares,https://bastter.com/mercado/images/acao/BRAP.gif,03.847.461/0001-92,Materiais Básicos,Mineração,Minerais Metálicos,Ação,N1
LTEL3B,LITEL PRB MB,https://bastter.com/mercado/images/acao/LTEL.gif,00.743.065/0001-27,Materiais Básicos,Mineração,Minerais Metálicos,Ação,MB
LTLA3B,#N/D,https://bastter.com/mercado/images/acao/LTLA.gif,05.495.546/0001-84,Materiais Básicos,Mineração,Minerais Metálicos,Ação,MB
MMXM3,MMX Mineracao e Mtlcs SA Em Rcco Judcl,https://bastter.com/mercado/images/acao/MMXM.gif,02.762.115/0001-49,Materiais Básicos,Mineração,Minerais Metálicos,Ação,NM
VALE3,Vale SA,https://bastter.com/mercado/images/acao/VALE.gif,33.592.510/0001-54,Materiais Básicos,Mineração,Minerais Metálicos,Ação,NM
FESA3,Companhia de Ferro Ligas da Bah Frbs,https://bastter.com/mercado/images/acao/FESA.gif,15.141.799/0001-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
FESA4,Companhia de Ferro Ligas da Bah Frbs Preference Shares,https://bastter.com/mercado/images/acao/FESA.gif,15.141.799/0001-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
GGBR3,Gerdau SA,https://bastter.com/mercado/images/acao/GGBR.gif,33.611.500/0001-19,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
GGBR4,Gerdau SA Preference Shares,https://bastter.com/mercado/images/acao/GGBR.gif,33.611.500/0001-19,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
GOAU3,Metalurgica Gerdau S.A.,https://bastter.com/mercado/images/acao/GOAU.gif,92.690.783/0001-09,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
GOAU4,Metalurgica Gerdau S.A. Preference Shares,https://bastter.com/mercado/images/acao/GOAU.gif,92.690.783/0001-09,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
CSNA3,Companhia Siderurgica Nacional,https://bastter.com/mercado/images/acao/CSNA.gif,33.042.730/0001-04,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,
USIM3,Usinas Siderurgicas de Mins Grs SA USMNS,https://bastter.com/mercado/images/acao/USIM.gif,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
USIM5,Usinas Siderurgicas de Minas Gerais A Pref Shs,https://bastter.com/mercado/images/acao/USIM.gif,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
USIM6,Usinas Siderurgicas de Minas Gerais Pref Shs,https://bastter.com/mercado/images/acao/USIM.gif,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Ação,N1
MGEL3,Mangels Industrial SA,https://bastter.com/mercado/images/acao/MGEL.gif,61.065.298/0001-02,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Ação,
MGEL4,Mangels Industrial SA Preference Shares,https://bastter.com/mercado/images/acao/MGEL.gif,61.065.298/0001-02,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Ação,
PATI3,Panatlantica SA,https://bastter.com/mercado/images/acao/PATI.gif,92.693.019/0001-89,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Ação,
PATI4,Panatlantica SA Preference Shares,https://bastter.com/mercado/images/acao/PATI.gif,92.693.019/0001-89,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Ação,
TKNO3,Tekno SA Industria e Comercio,https://bastter.com/mercado/images/acao/TKNO.gif,33.467.572/0001-34,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Ação,
TKNO4,Tekno SA Industria e Comercio Preference Shares,https://bastter.com/mercado/images/acao/TKNO.gif,33.467.572/0001-34,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Ação,
PMAM3,Paranapanema SA,https://bastter.com/mercado/images/acao/PMAM.gif,60.398.369/0004-79,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,Ação,NM
BRKM3,Braskem SA,https://bastter.com/mercado/images/acao/BRKM.gif,42.150.391/0001-70,Materiais Básicos,Químicos,Petroquímicos,Ação,N1
BRKM5,Braskem SA Preference Shares Series A,https://bastter.com/mercado/images/acao/BRKM.gif,42.150.391/0001-70,Materiais Básicos,Químicos,Petroquímicos,Ação,N1
BRKM6,Braskem SA Preference Shares Series B,https://bastter.com/mercado/images/acao/BRKM.gif,42.150.391/0001-70,Materiais Básicos,Químicos,Petroquímicos,Ação,N1
EKTR3,Elektro Redes SA,https://bastter.com/mercado/images/acao/EKTR.gif,02.328.280/0001-97,Materiais Básicos,Químicos,Petroquímicos,Ação,
EKTR4,Elektro Redes SA Preference Shares,https://bastter.com/mercado/images/acao/EKTR.gif,02.328.280/0001-97,Materiais Básicos,Químicos,Petroquímicos,Ação,
DEXP3,DEXXOS PARTICIPACOES S.A.,https://bastter.com/mercado/images/acao/GPCP.gif,02.193.750/0001-52,Materiais Básicos,Químicos,Petroquímicos,Ação,
DEXP4,DEXXOS PARTICIPACOES S.A.,https://bastter.com/mercado/images/acao/GPCP.gif,02.193.750/0001-52,Materiais Básicos,Químicos,Petroquímicos,Ação,
FHER3,Fertilizantes Heringer SA,https://bastter.com/mercado/images/acao/FHER.gif,22.266.175/0001-88,Materiais Básicos,Químicos,Fertilizantes e Defensivos,Ação,NM
NUTR3,Nutriplant Industria e Comercio SA,https://bastter.com/mercado/images/acao/NUTR.gif,51.128.999/0001-90,Materiais Básicos,Químicos,Fertilizantes e Defensivos,Ação,MA
CRPG3,Tronox Pigmentos do Brasil SA,https://bastter.com/mercado/images/acao/CRPG.gif,15.115.504/0001-24,Materiais Básicos,Químicos,Químicos Diversos,Ação,
CRPG5,Tronox Pigmentos do Brasil SA Preference Shares Series A,https://bastter.com/mercado/images/acao/CRPG.gif,15.115.504/0001-24,Materiais Básicos,Químicos,Químicos Diversos,Ação,
CRPG6,Tronox Pigmentos do Brasil SA Preference Shares Series B,https://bastter.com/mercado/images/acao/CRPG.gif,15.115.504/0001-24,Materiais Básicos,Químicos,Químicos Diversos,Ação,
UNIP3,Unipar Carbocloro SA,https://bastter.com/mercado/images/acao/UNIP.gif,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos,Ação,
UNIP5,Unipar Participacoes A Pref Shs,https://bastter.com/mercado/images/acao/UNIP.gif,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos,Ação,
UNIP6,Unipar Participacoes B Pref Shs,https://bastter.com/mercado/images/acao/UNIP.gif,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos,Ação,
DXCO3,Duratex SA,https://bastter.com/mercado/images/acao/DTEX.gif,97.837.181/0001-47,Materiais Básicos,Madeira e Papel,Madeira,Ação,NM
EUCA3,Eucatex SA Industria e Comercio,https://bastter.com/mercado/images/acao/EUCA.gif,56.643.018/0001-66,Materiais Básicos,Madeira e Papel,Madeira,Ação,N1
EUCA4,Eucatex SA Industria e Comercio Preference Shares,https://bastter.com/mercado/images/acao/EUCA.gif,56.643.018/0001-66,Materiais Básicos,Madeira e Papel,Madeira,Ação,N1
RANI3,Irani Papel e Embalagem SA,https://bastter.com/mercado/images/acao/RANI.gif,92.791.243/0001-03,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
RANI4,#N/D,https://bastter.com/mercado/images/acao/RANI.gif,92.791.243/0001-03,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
KLBN3,Klabin SA,https://bastter.com/mercado/images/acao/KLBN.gif,89.637.490/0001-45,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,N2
KLBN4,Klabin SA Preference Shares,https://bastter.com/mercado/images/acao/KLBN.gif,89.637.490/0001-45,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,N2
KLBN11,Klabin SA Brazilian Units,https://bastter.com/mercado/images/acao/KLBN.gif,89.637.490/0001-45,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,N2
MSPA3,Companhia Melhoramentos de Sao Paulo,https://bastter.com/mercado/images/acao/MSPA.gif,60.730.348/0001-66,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
MSPA3,Companhia Melhoramentos de Sao Paulo,https://bastter.com/mercado/images/acao/MSPA.gif,60.730.348/0001-66,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
NEMO3,Suzano Holding SA,https://bastter.com/mercado/images/acao/NEMO.gif,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
NEMO5,Suzano Holding A Pref Shs,https://bastter.com/mercado/images/acao/NEMO.gif,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
NEMO6,Suzano Holding B Pref Shs,https://bastter.com/mercado/images/acao/NEMO.gif,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,
SUZB3,Suzano SA,https://bastter.com/mercado/images/acao/SUZB.gif,16.404.287/0001-55,Materiais Básicos,Madeira e Papel,Papel e Celulose,Ação,NM
MTIG3,Metalgrafica Iguacu SA,https://bastter.com/mercado/images/acao/MTIG.gif,80.227.184/0001-66,Materiais Básicos,Embalagens,Embalagens,Ação,
MTIG4,Metalgrafica Iguacu SA Preference Shares,https://bastter.com/mercado/images/acao/MTIG.gif,80.227.184/0001-66,Materiais Básicos,Embalagens,Embalagens,Ação,
SNSY3,Sansuy SA Industria d Plstc Em Rcpr Jdcl,https://bastter.com/mercado/images/acao/SNSY.gif,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,Ação,
SNSY5,Sansuy Industria de Plasticos A Pref Shs,https://bastter.com/mercado/images/acao/SNSY.gif,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,Ação,
SNSY6,Sansuy Industria de Plasticos B Pref Shs,https://bastter.com/mercado/images/acao/SNSY.gif,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,Ação,
ETER3,Eternit SA,https://bastter.com/mercado/images/acao/ETER.gif,61.092.037/0001-81,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,NM
HAGA3,Haga S/A Industria E Comercio,https://bastter.com/mercado/images/acao/HAGA.gif,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,
HAGA4,Haga S/A Industria E Comercio Preference Shares,https://bastter.com/mercado/images/acao/HAGA.gif,30.540.991/0001-66,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,
PTBL3,PBG SA,https://bastter.com/mercado/images/acao/PTBL.gif,83.475.913/0001-91,Bens Industriais,Construção e Engenharia,Produtos para Construção,Ação,NM
AZEV3,Azevedo & Travassos SA,https://bastter.com/mercado/images/acao/AZEV.gif,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada,Ação,
AZEV4,Azevedo & Travassos SA Preference Shares,https://bastter.com/mercado/images/acao/AZEV.gif,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada,Ação,
